portfolio,scenario,hour,highs_load_shed_mw,gurobi_load_shed_mw,abs_diff_mw,thermal_avail_mw,vre_output_mw,load_mw,highs_storage_discharge_mw,highs_storage_charge_mw,highs_soc_mwh,gurobi_storage_discharge_mw,gurobi_storage_charge_mw,gurobi_soc_mwh,window_start,window_end,inside_window,dispute_type
VRE120_base,6,5440,0.0,1.6443024653781322,1.6443024653781322,6970.0,1564.9,9188.5521084,653.6521083999996,0.0,2509.33943543282,652.0078059346215,0.0,2581.1846505909652,4074,6258,true,Gurobi_only
VRE120_base,6,5441,893.8007544000011,0.0,893.8007544000011,6970.0,1032.5,8896.300754400001,0.0,0.0,2509.33943543282,893.8007544000011,0.0,1639.0359311640427,4074,6258,true,HiGHS_only
VRE120_base,6,5443,285.0513268653767,0.0,285.0513268653767,6970.0,68.3,7883.833223999999,560.481897134622,0.0,882.3666613717788,845.5332239999989,0.0,747.7656561022617,4074,6258,true,HiGHS_only
VRE120_base,6,5445,0.0,127.6937256000001,127.6937256000001,6970.0,156.79999999999998,7254.4937256,127.6937256000001,0.0,0.0,0.0,0.0,0.0,4074,6258,true,Gurobi_only
VRE120_base,6,5846,0.0,59.39261759999954,59.39261759999954,6930.0,1932.3000000000002,8921.6926176,59.39261759999954,0.0,3869.3946840615326,0.0,0.0,3932.0,4074,6258,true,Gurobi_only
VRE120_base,6,5852,130.23806166537997,0.0,130.23806166537997,6910.0,312.4,7672.10841,319.47034833462016,0.0,0.0,449.7084100000002,0.0,0.0,4074,6258,true,HiGHS_only
VRE120_base,7,4934,0.0,107.65135519999876,107.65135519999876,7514.0,1794.2,9415.851355199999,107.65135519999876,0.0,3818.5255081213977,0.0,0.0,3932.0,4073,6257,true,Gurobi_only
VRE120_base,7,4935,0.0,321.5522204653769,321.5522204653769,7514.0,1544.0999999999997,9613.691175599999,555.5911755999996,0.0,3232.8809871925423,234.03895513462274,0.0,3685.3012801895443,4073,6257,true,Gurobi_only
VRE120_base,7,4936,429.20357566537587,0.0,429.20357566537587,7514.0,1479.6,9449.5704288,26.766853134623656,0.0,3204.666246625666,455.97042879999935,0.0,3204.666246625666,4073,6257,true,HiGHS_only
VRE120_base,7,4984,0.0,88.60247046537819,88.60247046537819,7649.0,917.7,9035.9972088,469.2972087999997,0.0,3437.3173068774618,380.69473833462143,0.0,3530.7125112069266,4073,6257,true,Gurobi_only
VRE120_base,7,4989,88.60247046537825,0.0,88.60247046537825,7661.0,80.7,8016.616429199999,186.3139587346215,0.0,0.0,274.9164291999996,0.0,0.0,4073,6257,true,HiGHS_only
VRE120_base,7,5725,0.0,139.40802879999865,139.40802879999865,7271.0,1861.2000000000003,9271.6080288,139.40802879999865,0.0,3785.051034959218,0.0,0.0,3932.0,4073,6257,true,Gurobi_only
VRE120_base,11,4985,0.0,245.36446566537848,245.36446566537848,7446.0,625.0,9015.6539772,944.6539771999996,0.0,2227.583795643145,699.2895115346212,0.0,2486.2206517674044,4073,6258,true,Gurobi_only
VRE120_base,11,5006,0.0,341.7803296000002,341.7803296000002,7391.0,1884.8999999999999,9617.6803296,341.7803296000002,0.0,3571.731899673645,0.0,0.0,3932.0,4073,6258,true,Gurobi_only
VRE120_base,11,5007,0.0,775.9397635999994,775.9397635999994,7391.0,1502.0000000000005,9668.9397636,775.9397635999994,0.0,2753.8195729841077,0.0,0.0,3932.0,4073,6258,true,Gurobi_only
VRE120_base,11,5009,849.283191200001,0.0,849.283191200001,7336.0,1215.3,9400.583191200001,0.0,0.0,2753.8195729841077,849.283191200001,0.0,2926.570268186766,4073,6258,true,HiGHS_only
VRE120_base,11,5012,163.8856992653764,0.0,163.8856992653764,7391.0,314.4,8616.4900188,747.2043195346229,0.0,0.0,911.0900187999996,0.0,0.0,4073,6258,true,HiGHS_only
VRE120_base,14,5725,0.0,214.40802879999865,214.40802879999865,7196.0,1861.2000000000003,9271.6080288,214.40802879999865,0.0,3705.9940934550086,0.0,0.0,3932.0,4073,6258,true,Gurobi_only
VRE120_base,14,5726,0.0,474.2167139999983,474.2167139999983,7196.0,1960.6,9630.816713999999,474.2167139999983,0.0,3206.125786534791,0.0,0.0,3932.0,4073,6258,true,Gurobi_only
VRE120_base,14,5727,0.0,151.1462628653784,151.1462628653784,7196.0,1935.8999999999996,9830.2031484,698.3031484000003,0.0,2470.049637797936,547.1568855346219,0.0,3355.246001422186,4073,6258,true,Gurobi_only
VRE120_base,14,5728,611.4300863999988,0.0,611.4300863999988,7196.0,1924.3,9731.730086399999,0.0,0.0,2470.049637797936,611.4300863999988,0.0,2710.7421004296734,4073,6258,true,HiGHS_only
VRE120_base,14,5730,228.34091926537621,0.0,228.34091926537621,7196.0,901.3000000000001,8796.0528576,470.41193833462285,0.0,1237.6708147100537,698.7528575999995,0.0,1237.6708147100537,4073,6258,true,HiGHS_only
