case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_pwr0p5x,3,35615.93109359997,11968.210871796127,0.663964678044125,11968.210871796124,11968.210871796127,11968.210871796127,0.0,-3.637978807091713e-12,0.0
VRE120_base_pwr0p5x,4,49491.39154559995,19618.4940798615,0.6035978486928261,19618.4940798615,19618.494079861503,19618.494079861503,-3.637978807091713e-12,-3.637978807091713e-12,0.0
VRE120_base_pwr0p5x,5,54383.20719439995,25513.814547494185,0.5308512339794215,25513.81454749418,25513.814547494178,25513.81454749418,3.637978807091713e-12,0.0,-3.637978807091713e-12
VRE120_base_pwr0p5x,6,39633.035714399964,17025.84972256343,0.5704126768069551,17025.849722563442,17025.849722563435,17025.849722563435,-3.637978807091713e-12,7.275957614183426e-12,0.0
VRE120_base_pwr0p5x,7,36566.712325199966,9368.12051176343,0.7438074161972886,9368.12051176343,9368.120511763424,9368.120511763427,3.637978807091713e-12,3.637978807091713e-12,-3.637978807091713e-12
VRE120_base_pwr0p5x,8,24945.436746799973,4148.144227698063,0.8337113007961189,4148.144227698061,4148.144227698058,4148.144227698058,5.4569682106375694e-12,2.7284841053187847e-12,0.0
VRE120_base_pwr0p5x,9,13900.730931999982,1035.6534300653784,0.9254964767585518,1035.6534300653775,1035.6534300653784,1035.6534300653784,0.0,-9.094947017729282e-13,0.0
VRE120_base_pwr0p5x,10,19638.346831999974,1729.1672776980704,0.9119494480624787,1729.1672776980722,1729.1672776980677,1729.1672776980681,2.2737367544323206e-12,4.092726157978177e-12,-4.547473508864641e-13
VRE120_base_pwr0p5x,11,40313.85112839996,12146.437944163437,0.6987031106138452,12146.437944163426,12146.437944163432,12146.43794416343,7.275957614183426e-12,-3.637978807091713e-12,1.8189894035458565e-12
VRE120_base_pwr0p5x,12,19869.128942399977,2197.767937698067,0.8893878063769514,2197.7679376980695,2197.767937698066,2197.767937698066,9.094947017729282e-13,3.637978807091713e-12,0.0
VRE120_base_pwr0p5x,13,23746.44494479997,4214.2046828980565,0.822533238440776,4214.204682898057,4214.204682898057,4214.204682898058,-1.8189894035458565e-12,-9.094947017729282e-13,-9.094947017729282e-13
