model,case,scenario_id,eue_mwh,lolh_h
M2,VRE120_base_ls1p225,11,9579.755905901933,21
M2,VRE120_base_ls1p225,12,454.6291873403861,1
M2,VRE120_base_ls1p225,13,2018.3035245461542,6
M2,VRE120_base_ls1p225,14,2731.4583321057708,5
M2,VRE120_base_ls1p225,15,17734.96920488271,31
M2,VRE120_base_ls1p225,16,1410.8032287903852,4
M2,VRE120_base_ls1p225,17,0.0,0
M2,VRE120_base_ls1p225,18,6348.367471396162,13
M2,VRE120_base_ls1p225,19,1337.2011048711547,5
M2,VRE120_base_ls1p225,20,1584.2311320557737,5
M3,VRE120_base_ls1p225,1,6177.760721411545,13
M3,VRE120_base_ls1p225,2,6787.353397401933,17
M3,VRE120_base_ls1p225,3,8398.333665151937,19
M3,VRE120_base_ls1p225,4,15772.07177608271,27
M3,VRE120_base_ls1p225,5,21530.431535138483,40
M3,VRE120_base_ls1p225,6,14385.441439051941,27
M3,VRE120_base_ls1p225,7,5531.515358336543,11
M3,VRE120_base_ls1p225,8,1752.175733221156,7
M3,VRE120_base_ls1p225,9,0.0,0
M3,VRE120_base_ls1p225,10,173.19376340000235,2
M3,VRE120_base_ls1p225,11,9579.755905901933,22
M3,VRE120_base_ls1p225,12,454.6291873403866,2
M3,VRE120_base_ls1p225,13,2018.3035245461551,11
M3,VRE120_base_ls1p225,14,2731.4583321057708,5
M3,VRE120_base_ls1p225,15,17734.96920488271,28
M3,VRE120_base_ls1p225,16,1410.803228790385,5
M3,VRE120_base_ls1p225,17,0.0,0
M3,VRE120_base_ls1p225,18,6348.367471396161,14
M3,VRE120_base_ls1p225,19,1337.201104871154,9
M3,VRE120_base_ls1p225,20,1584.2311320557728,6
M1c,VRE120_base_ls1p25,1,12579.896879076918,22
M1c,VRE120_base_ls1p25,2,16150.160851088436,35
M1c,VRE120_base_ls1p25,3,16752.729985707687,30
M1c,VRE120_base_ls1p25,4,27414.528788588435,41
M1c,VRE120_base_ls1p25,5,35460.71688733844,49
M1c,VRE120_base_ls1p25,6,21865.560876576918,33
M1c,VRE120_base_ls1p25,7,15039.832114403824,35
M1c,VRE120_base_ls1p25,8,6277.4116220115275,15
M1c,VRE120_base_ls1p25,9,1854.2870799461498,9
M1c,VRE120_base_ls1p25,10,3038.529667826915,12
M1c,VRE120_base_ls1p25,11,17928.88829440382,35
M1c,VRE120_base_ls1p25,12,3526.102759511531,11
M1c,VRE120_base_ls1p25,13,6758.997118642292,18
